individual	heteroplasmy	generation	mutation_rate	bottleneck_size	back_mutation_rate	starting_heteroplasmy
24	0.00018310546875	1	1e-08	64	1	0.1
30	0.001953125	1	1e-08	16	1	0.1
44	0.00048828125	1	1e-08	8	1	0.1
34	9.1552734375e-05	1	1e-08	16	1	0.1

19	0.03125	1	1e-08	128	1	0.1
23	0.03125	1	1e-08	128	1	0.1
25	0.09375	1	1e-08	32	1	0.1
26	0.1875	1	1e-08	16	1	0.1
35	3.0517578125e-05	1	1e-08	16	1	0.1
16	0.046875	1	1e-08	128	1	0.1

21	0.000244140625	1	1e-08	128	1	0.1
28	0.28125	1	1e-08	32	1	0.1
32	0.00048828125	1	1e-08	8	1	0.1

33	0.75	1	1e-08	16	1	0.1

13	0.0234375	1	1e-08	128	1	0.1












27	3.0517578125e-05	1	1e-08	32	1	0.1
31	0.000244140625	1	1e-08	16	1	0.1
39	0.00390625	1	1e-08	16	1	0.1
42	0.25	1	1e-08	8	1	0.1




43	0.000244140625	1	1e-08	8	1	0.1
30	0.000244140625	1	1e-08	32	1	0.1
33	0.00048828125	1	1e-08	32	1	0.1
32	0.25	1	1e-08	16	1	0.1


26	0.0625	1	1e-08	32	1	0.1


36	0.875	1	1e-08	16	1	0.1
37	0.000244140625	1	1e-08	8	1	0.1


35	0.3125	1	1e-08	32	1	0.1

44	0.000244140625	1	1e-08	16	1	0.1
25	0.4375	1	1e-08	64	1	0.1
31	0.0001220703125	1	1e-08	32	1	0.1
40	0.0001220703125	1	1e-08	8	1	0.1

38	0.00390625	1	1e-08	8	1	0.1
45	0.001953125	1	1e-08	8	1	0.1
47	0.000244140625	1	1e-08	8	1	0.1
42	0.3125	1	1e-08	16	1	0.1
34	0.21875	1	1e-08	32	1	0.1
39	0.000244140625	1	1e-08	32	1	0.1


28	0.046875	1	1e-08	64	1	0.1
27	0.000244140625	1	1e-08	64	1	0.1

46	0.000244140625	1	1e-08	8	1	0.1
24	0.0001220703125	1	1e-08	128	1	0.1

29	0.000244140625	1	1e-08	32	1	0.1
41	6.103515625e-05	1	1e-08	16	1	0.1












30	0.1875	1	1e-08	64	1	0.1
43	0.125	1	1e-08	16	1	0.1


32	0.000244140625	1	1e-08	32	1	0.1

26	0.001953125	1	1e-08	64	1	0.1

33	0.09375	1	1e-08	64	1	0.1

44	0.000244140625	1	1e-08	32	1	0.1

35	0.09375	1	1e-08	64	1	0.1

36	0.00048828125	1	1e-08	32	1	0.1
31	0.00048828125	1	1e-08	64	1	0.1

37	0.00048828125	1	1e-08	16	1	0.1
40	0.0001220703125	1	1e-08	16	1	0.1



46	0.0009765625	1	1e-08	16	1	0.1
28	0.15625	1	1e-08	128	1	0.1
27	0.1796875	1	1e-08	128	1	0.1
38	0.000244140625	1	1e-08	16	1	0.1


25	0.1171875	1	1e-08	128	1	0.1

39	0.000152587890625	1	1e-08	64	1	0.1



34	0.15625	1	1e-08	64	1	0.1
42	0.46875	1	1e-08	32	1	0.1
45	0.375	1	1e-08	16	1	0.1
48	0.00048828125	1	1e-08	8	1	0.1
47	0.375	1	1e-08	16	1	0.1

29	0.0009765625	1	1e-08	64	1	0.1

41	0.40625	1	1e-08	32	1	0.1





30	6.103515625e-05	1	1e-08	128	1	0.1
26	0.1484375	1	1e-08	128	1	0.1

32	0.03125	1	1e-08	64	1	0.1
33	0.125	1	1e-08	128	1	0.1
43	0.001953125	1	1e-08	32	1	0.1

44	0.1875	1	1e-08	64	1	0.1
35	0.203125	1	1e-08	128	1	0.1



36	0.125	1	1e-08	64	1	0.1


31	0.1484375	1	1e-08	128	1	0.1
40	0.03125	1	1e-08	32	1	0.1
37	0.5	1	1e-08	32	1	0.1




45	0.0001220703125	1	1e-08	32	1	0.1
46	0.343742370605469	1	1e-08	32	1	0.1
34	0.0859375	1	1e-08	128	1	0.1
43	0.21875	1	1e-08	64	1	0.1
47	0.1875	1	1e-08	32	1	0.1
44	0.109375	1	1e-08	128	1	0.1



48	0.375	1	1e-08	16	1	0.1


54	0.0001220703125	1	1e-08	8	1	0.1


32	0.2734375	1	1e-08	128	1	0.1

38	0.00048828125	1	1e-08	32	1	0.1
37	0.125	1	1e-08	64	1	0.1

42	0.3125	1	1e-08	64	1	0.1
50	0.0001220703125	1	1e-08	8	1	0.1
41	0.0001220703125	1	1e-08	64	1	0.1
40	0.265625	1	1e-08	64	1	0.1
55	0.000732421875	1	1e-08	8	1	0.1
29	0.15625	1	1e-08	128	1	0.1
52	0.0001220703125	1	1e-08	8	1	0.1
39	0.1484375	1	1e-08	128	1	0.1
36	0.09375	1	1e-08	128	1	0.1

59	6.103515625e-05	1	1e-08	8	1	0.1
57	0.0001220703125	1	1e-08	8	1	0.1
51	0.000244140625	1	1e-08	8	1	0.1



49	0.25	1	1e-08	8	1	0.1











47	0.109375	1	1e-08	64	1	0.1
43	0.1953125	1	1e-08	128	1	0.1
46	0.21875	1	1e-08	64	1	0.1

45	0.140625	1	1e-08	64	1	0.1



48	0.0001220703125	1	1e-08	32	1	0.1

54	0.375	1	1e-08	16	1	0.1

50	0.000244140625	1	1e-08	16	1	0.1

58	0.75	1	1e-08	8	1	0.1
42	0.078125	1	1e-08	128	1	0.1


59	0.000244140625	1	1e-08	16	1	0.1
40	0.1640625	1	1e-08	128	1	0.1
68	0.00048828125	1	1e-08	8	1	0.1
56	0.0003662109375	1	1e-08	8	1	0.1

38	0.09375	1	1e-08	64	1	0.1

57	0.000244140625	1	1e-08	16	1	0.1
37	0.1015625	1	1e-08	128	1	0.1
53	0.00048828125	1	1e-08	8	1	0.1
41	0.000244140625	1	1e-08	128	1	0.1
63	0.0001220703125	1	1e-08	8	1	0.1
67	0.000244140625	1	1e-08	8	1	0.1


55	0.000152587890625	1	1e-08	16	1	0.1
46	0.2890625	1	1e-08	128	1	0.1
47	0.000244140625	1	1e-08	128	1	0.1
51	0.0001220703125	1	1e-08	16	1	0.1
52	0.0009765625	1	1e-08	16	1	0.1
60	6.103515625e-05	1	1e-08	8	1	0.1
49	0.125	1	1e-08	16	1	0.1














45	0.140625	1	1e-08	128	1	0.1

48	0.03125	1	1e-08	64	1	0.1
54	0.0009765625	1	1e-08	32	1	0.1


66	0.0001220703125	1	1e-08	8	1	0.1
58	0.000244140625	1	1e-08	16	1	0.1
57	0.1875	1	1e-08	32	1	0.1


56	0.000244140625	1	1e-08	16	1	0.1


50	0.000244140625	1	1e-08	32	1	0.1
38	0.015625	1	1e-08	128	1	0.1
64	0.001953125	1	1e-08	8	1	0.1

53	0.001953125	1	1e-08	16	1	0.1

70	0.000244140625	1	1e-08	8	1	0.1
59	0.0001220703125	1	1e-08	32	1	0.1

71	0.00048828125	1	1e-08	8	1	0.1
67	0.0009765625	1	1e-08	16	1	0.1



51	0.0009765625	1	1e-08	32	1	0.1
63	0.000244140625	1	1e-08	16	1	0.1

68	0.00048828125	1	1e-08	16	1	0.1



55	0.1875	1	1e-08	32	1	0.1

65	0.0001220703125	1	1e-08	8	1	0.1
49	0.125	1	1e-08	32	1	0.1
61	1	1	1e-08	8	1	0.1
69	0.75	1	1e-08	8	1	0.1
60	0.000244140625	1	1e-08	16	1	0.1


54	0.140625	1	1e-08	64	1	0.1



52	0.0001220703125	1	1e-08	32	1	0.1
48	0.0546875	1	1e-08	128	1	0.1




66	1	1	1e-08	16	1	0.1
57	0.171875	1	1e-08	64	1	0.1


58	0.0625	1	1e-08	32	1	0.1

56	0.625	1	1e-08	32	1	0.1

50	0.078125	1	1e-08	64	1	0.1
62	0.0009765625	1	1e-08	8	1	0.1
59	0.34375	1	1e-08	64	1	0.1
64	0.0625	1	1e-08	16	1	0.1
53	0.0001220703125	1	1e-08	32	1	0.1
63	0.0625	1	1e-08	32	1	0.1
67	0.09375	1	1e-08	32	1	0.1



70	0.00048828125	1	1e-08	16	1	0.1




68	0.000244140625	1	1e-08	32	1	0.1
71	0.0001220703125	1	1e-08	16	1	0.1
51	0.0009765625	1	1e-08	64	1	0.1


60	0.000244140625	1	1e-08	32	1	0.1


65	0.00048828125	1	1e-08	16	1	0.1
49	0.03125	1	1e-08	64	1	0.1
55	0.046875	1	1e-08	64	1	0.1
61	0.001953125	1	1e-08	16	1	0.1

69	0.6875	1	1e-08	16	1	0.1





72	6.103515625e-05	1	1e-08	8	1	0.1
54	0.078125	1	1e-08	128	1	0.1
52	0.03125	1	1e-08	64	1	0.1



66	0.09375	1	1e-08	32	1	0.1

51	0.0625	1	1e-08	128	1	0.1

53	0.21875	1	1e-08	64	1	0.1

57	0.0625	1	1e-08	128	1	0.1
72	0.3125	1	1e-08	16	1	0.1

64	0.03125	1	1e-08	32	1	0.1

61	0.001953125	1	1e-08	32	1	0.1


56	0.0001220703125	1	1e-08	64	1	0.1

59	0.28125	1	1e-08	128	1	0.1
58	0.000244140625	1	1e-08	64	1	0.1


60	0.0001220703125	1	1e-08	64	1	0.1

49	0.00048828125	1	1e-08	128	1	0.1
65	0.46875	1	1e-08	32	1	0.1

75	0.001953125	1	1e-08	8	1	0.1


62	6.103515625e-05	1	1e-08	16	1	0.1
50	0.1015625	1	1e-08	128	1	0.1
71	0.0001220703125	1	1e-08	32	1	0.1
67	0.25	1	1e-08	64	1	0.1


63	0.109375	1	1e-08	64	1	0.1



78	0.125	1	1e-08	8	1	0.1
56	0.078125	1	1e-08	128	1	0.1


55	0.1171875	1	1e-08	128	1	0.1

68	0.000244140625	1	1e-08	64	1	0.1
69	0.34375	1	1e-08	32	1	0.1
70	0.125	1	1e-08	32	1	0.1
52	0.078125	1	1e-08	128	1	0.1
64	0.125	1	1e-08	64	1	0.1

72	0.0001220703125	1	1e-08	32	1	0.1
81	0.00048828125	1	1e-08	8	1	0.1


61	0.109375	1	1e-08	64	1	0.1

60	0.1484375	1	1e-08	128	1	0.1




53	0.0859375	1	1e-08	128	1	0.1
66	0.046875	1	1e-08	64	1	0.1



58	0.1328125	1	1e-08	128	1	0.1
83	0.000244140625	1	1e-08	8	1	0.1


71	0.0001220703125	1	1e-08	64	1	0.1
65	0.046875	1	1e-08	64	1	0.1

73	0.00048828125	1	1e-08	8	1	0.1
62	0.09375	1	1e-08	32	1	0.1

