individual	heteroplasmy	generation	mutation_rate	bottleneck_size	back_mutation_rate	starting_heteroplasmy
104	0.0234375	1	1e-08	128	1	0.1

101	6.103515625e-05	1	1e-08	128	1	0.1

120	0.109375	1	1e-08	64	1	0.1

117	6.103515625e-05	1	1e-08	32	1	0.1
118	0.000244140625	1	1e-08	32	1	0.1
123	0.0009765625	1	1e-08	8	1	0.1
98	0.1171875	1	1e-08	128	1	0.1
113	6.103515625e-05	1	1e-08	32	1	0.1


119	0.3125	1	1e-08	64	1	0.1
116	0.03125	1	1e-08	64	1	0.1
100	0.109375	1	1e-08	128	1	0.1





97	0.390625	1	1e-08	64	1	0.1


135	0.0001220703125	1	1e-08	8	1	0.1
127	0.0003662109375	1	1e-08	8	1	0.1
112	0.15625	1	1e-08	64	1	0.1
115	0.078125	1	1e-08	64	1	0.1
131	0.75	1	1e-08	8	1	0.1

132	0.000244140625	1	1e-08	8	1	0.1
106	0.09375	1	1e-08	64	1	0.1
109	3.0517578125e-05	1	1e-08	64	1	0.1
129	6.103515625e-05	1	1e-08	16	1	0.1
